Date,Open,High,Low,Close,Volume
2023-05-08,1872,1874,1853,1862,2361800
2023-05-02,1885,1892,1879,1882,2137800
2023-05-01,1852,1880,1851,1874,3191300
2023-04-28,1845,1846,1820,1839,3574000
2023-04-27,1815,1829,1811,1829,1752500
2023-04-26,1828,1839,1819,1823,1769600
2023-04-25,1843,1848,1837,1845,1604200
2023-04-24,1851,1854,1842,1850,1837100
2023-04-21,1835,1844,1825,1830,1794000
2023-04-20,1843,1854,1837,1845,2217900
2023-04-19,1835,1852,1832,1847,2808200
2023-04-18,1825,1850,1814,1846,2780800
2023-04-17,1819,1823,1807,1812,1791200
2023-04-14,1830,1830,1803,1818,4089400
2023-04-13,1793,1804,1782,1798,2221300
2023-04-12,1810,1811,1792,1803,2348600
2023-04-11,1804,1821,1800,1809,3445600
2023-04-10,1785,1794,1779,1788,1932400
2023-04-07,1777,1782,1768,1776,1685300
2023-04-06,1772,1780,1765,1777,3162000
2023-04-05,1774,1789,1761,1784,3799700
2023-04-04,1776,1779,1759,1767,2187400
2023-04-03,1751,1777,1747,1770,2694600
2023-03-31,1750,1750,1724,1732,4698900
2023-03-30,1732,1743,1722,1737,3046700
2023-03-29,1717,1743,1713,1741,3603200
2023-03-28,1724,1731,1714,1726,2030200
2023-03-27,1700,1718,1700,1711,2079400
2023-03-24,1703,1703,1686,1699,2622700
2023-03-23,1691,1711,1686,1706,2408800
2023-03-22,1717,1722,1688,1710,3726000
2023-03-20,1705,1724,1691,1691,3210700
2023-03-17,1688,1702,1670,1701,4072400
2023-03-16,1667,1684,1656,1669,3641100
2023-03-15,1722,1724,1695,1701,3345800
2023-03-14,1745,1748,1713,1719,3778600
2023-03-13,1775,1784,1758,1777,2385400
2023-03-10,1797,1812,1787,1787,6223200
2023-03-09,1816,1823,1800,1813,3664200
2023-03-08,1812,1819,1802,1815,3580500
2023-03-07,1810,1836,1807,1825,3377200
2023-03-06,1822,1827,1810,1817,4122700
2023-03-03,1824,1829,1810,1813,5543800
2023-03-02,1832,1861,1818,1818,5231700
2023-03-01,1872,1884,1856,1872,2598300
2023-02-28,1869,1900,1869,1890,4287600
2023-02-27,1850,1866,1848,1861,1690900
2023-02-24,1840,1868,1829,1866,2107300
2023-02-22,1875,1878,1842,1845,3250700
2023-02-21,1884,1893,1871,1883,1937900
2023-02-20,1873,1883,1863,1883,1902200
2023-02-17,1870,1888,1865,1876,2878700
2023-02-16,1909,1919,1894,1894,2540300
2023-02-15,1941,1945,1902,1902,2762700
2023-02-14,1967,1977,1945,1945,2036400
2023-02-13,1974,1987,1935,1947,2640500
2023-02-10,2048,2055,1971,1975,8355500
2023-02-09,1992,2137,1991,2130,6380500
2023-02-08,1979,2015,1974,2014,3068400
2023-02-07,1995,2001,1982,1986,2074600
2023-02-06,2025,2026,1993,1997,2285800
2023-02-03,2000,2011,1988,2006,1950600
2023-02-02,2006,2006,1979,1982,2074200
2023-02-01,2026,2026,1987,1991,2251900
2023-01-31,2027,2028,2000,2003,2662400
2023-01-30,2016,2023,2003,2021,2005700
2023-01-27,2008,2017,1999,2012,1733100
2023-01-26,2011,2025,2001,2014,2075300
2023-01-25,1979,2012,1979,2003,1835200
2023-01-24,1982,2010,1968,2004,3039100
2023-01-23,1966,1966,1951,1954,1841500
2023-01-20,1931,1931,1909,1928,1961200
2023-01-19,1936,1936,1906,1922,2887700
2023-01-18,1902,1950,1895,1945,2661700
2023-01-17,1885,1900,1877,1888,2348800
2023-01-16,1885,1898,1874,1885,2490000
2023-01-13,1954,1957,1902,1907,3637200
2023-01-12,1932,1937,1912,1925,2453300
2023-01-11,1909,1921,1899,1921,3432500
2023-01-10,1893,1912,1887,1904,2771800
2023-01-06,1878,1893,1877,1885,3209800
2023-01-05,1924,1924,1901,1905,2280500
2023-01-04,1913,1918,1899,1911,2129800
